Consumer Wise Detail Report,,,,,,,,,,,,,,,,,,,,,,,,,,Run Date,11-Nov-25
Col Centre Code,Receipt Date,Book Number,Receipt Number,Receipt Type,BU,PC,Consumer No,Mode,Bank,IFSC,MICR,Cheque No,Cheque Date,Receipt Amount,Submitted,B60 Generated ,Modification,Cheque Bounce,"Receipt Source
",Ledger Updation Date,B80 Revision Id,B80 Date,Cheque Realised Date,B60 Date,Theft Consumer Name,Revision ID,CIR ID
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158970,01,0965,1,195870089487,CASH,-----------------------, ----------,---------,------,,930,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158971,01,0965,8,195040018421,CASH,-----------------------, ----------,---------,------,,1110,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158972,01,0965,8,195111945719,CASH,-----------------------, ----------,---------,------,,2980,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Nov-25,B08535,0158973,01,0965,8,195040046793,CASH,-----------------------, ----------,---------,------,,370,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117591,01,0965,5,195740001324,CASH,-----------------------, ----------,---------,------,,930,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117592,01,0965,5,196800001058,CASH,-----------------------, ----------,---------,------,,390,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117593,01,0965,5,196800001066,CASH,-----------------------, ----------,---------,------,,1120,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117594,01,0965,5,195240000763,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117595,01,0965,5,195240001409,CASH,-----------------------, ----------,---------,------,,610,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117596,01,0965,5,195240000640,CASH,-----------------------, ----------,---------,------,,220,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117597,01,0965,5,196790001879,CASH,-----------------------, ----------,---------,------,,490,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117598,01,0965,1,196250106922,CASH,-----------------------, ----------,---------,------,,180,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117599,01,0965,6,196710000851,CASH,-----------------------, ----------,---------,------,,390,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117600,01,0965,5,195011901030,CASH,-----------------------, ----------,---------,------,,1190,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117601,01,0965,1,196250106957,CASH,-----------------------, ----------,---------,------,,170,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117602,01,0965,5,195480001953,CASH,-----------------------, ----------,---------,------,,180,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117603,01,0965,5,195830084792,CASH,-----------------------, ----------,---------,------,,210,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117604,01,0965,8,195260048843,CASH,-----------------------, ----------,---------,------,,220,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117605,01,0965,5,196781904858,CASH,-----------------------, ----------,---------,------,,200,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117606,01,0965,5,195570000875,CASH,-----------------------, ----------,---------,------,,50,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117607,01,0965,5,195571925023,CASH,-----------------------, ----------,---------,------,,200,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117608,01,0965,5,196800122459,CASH,-----------------------, ----------,---------,------,,240,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117609,01,0965,5,195500065775,CASH,-----------------------, ----------,---------,------,,180,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117610,01,0965,5,195831903860,CASH,-----------------------, ----------,---------,------,,240,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117611,01,0965,5,196790121513,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117612,01,0965,5,195011953528,CASH,-----------------------, ----------,---------,------,,790,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117613,01,0965,5,195011986442,CASH,-----------------------, ----------,---------,------,,420,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117614,01,0965,5,195010011332,CASH,-----------------------, ----------,---------,------,,650,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
020965018-Kai Lalsingrao Shinde Gr.Big.Sheti Sah.Pat.Ltd. Br. Medha,03-Nov-25,B06425,0117615,01,0965,5,195480064084,CASH,-----------------------, ----------,---------,------,,410,Y,Y,--------,N,Occs,,,,03-Nov-25,04-Nov-25,,,
